title,URL,total_time,description,ingredients,instructions,calories,serves
Telur Balado (Spicy Chile Sauce with Eggs),https://www.allrecipes.com/recipe/150644/telur-balado-spicy-chile-sauce-with-eggs/,35,"Hard-boiled eggs are deep fried and then simmered in a sauce made with red chile peppers, tomatoes, garlic, and shrimp paste to make this unique Indonesian dish.","['1 cup vegetable oil for frying', '6 hard-boiled eggs (shells removed)', '6 red chile peppers, seeded and chopped', '4 cloves garlic', '4 medium shallots', '2 tomatoes, quartered', '1 teaspoon shrimp paste', '1.5 tablespoons peanut oil', '1 tablespoon vegetable oil', '1 teaspoon white vinegar', '1 teaspoon white sugar', 'some pinched of salt and pepper']","['Heat 1 cup oil in a small saucepan over medium-high heat. Deep fry the eggs in the hot oil until they are golden brown, 5 to 7 minutes; set aside.', 'Combine the chile peppers, garlic, shallots, tomatoes, and shrimp paste in a food processor; blend into a paste. Add in peanut oil. Process again until smooth.', 'Heat 1 tablespoon oil in a large skillet over medium heat. Pour the chile pepper mixture into the skillet. Stir the vinegar, sugar, salt, and pepper into the mixture. Add the fried eggs to the mixture, turning to coat. Reduce heat to medium-low; simmer until fragrant, about 5 minutes.']",237 kcal,6 servings
Kek Lapis Indonesia (Indonesian Layer Cake),https://www.allrecipes.com/recipe/264556/kek-lapis-indonesia-indonesian-layer-cake/,135,This uniquely layered cake is flavored with a blend of spices and is perfect for Ramadan or other festivities.,"['1 cup all-purpose flour', '0.25 teaspoon ground cinnamon', '0.25 teaspoon ground cloves', '0.25 teaspoon ground anise seeds', '0.25 teaspoon ground cardamom', '2 cups butter', '2 teaspoons vanilla extract', '17 egg yolks', '1 cup white sugar', '2 tablespoons white sugar', '5 egg whites']","['Preheat the oven to 350 degrees F (175 degrees C). Grease the bottom and sides of a square cake pan. Cut a piece of parchment paper to fit the base exactly and grease the paper.', 'Sift flour, cinnamon, cloves, anise, and cardamom together into a bowl.', 'Beat butter and vanilla extract together in a bowl using an electric mixer until creamy. Cream egg yolks and 1 cup plus 2 tablespoons sugar together in another bowl until thick and tripled in volume. Place egg whites in a separate bowl using clean beaters; mix until stiff peaks form.', 'Mix the creamed butter with the creamed egg yolk mixture. Slowly fold in the spiced flour, alternating with beaten egg whites. Carefully mix well.', 'Pour 1 ladleful of cake batter into the prepared pan. Spread batter evenly into a layer about 1/4-inch thick.', 'Bake in the preheated oven until light brown, about 5 minutes. Remove pan from oven; use a skewer to prick the top of the cake to prevent air bubbles from forming.', 'Spread another ladleful of batter on top and bake the new layer for about 5 minutes. Repeat the process and bake each remaining ladle of batter. When done, remove the cake from pan at once. Turn it over, top side up, onto a cooling rack and let cool for at least half an hour.']",559 kcal,10 servings
Steamed Rainbow Cupcakes,https://www.allrecipes.com/recipe/264499/steamed-rainbow-cupcakes/,40,"The perfect Ramadan dessert, bolu kukus are Indonesian steamed cakes free of dairy and oils and drizzled in festive colors.","['2.3333332538605 cups all-purpose flour', '0.5 teaspoon baking soda', '1.25 cups white sugar', '5 egg yolks', '4 egg whites', '0.75 cup soda water', '0.5 teaspoon vanilla extract', '5 drops yellow food coloring (or as needed)', '5 drops green food coloring (or as needed)', '5 drops red food coloring (or as needed)']","['Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Line 20 small muffin cups or ramekins with paper liners.', 'Sift flour and baking soda together in a bowl.', 'Beat sugar, egg yolks, egg whites, and vanilla extract with an electric mixer in a separate bowl until very fluffy. Stir the flour mixture and soda in gradually; mix well. Place yellow, green, and red food coloring into 3 separate bowls. Mix about 4 tablespoons of batter into each bowl.', 'Fill the muffin cups 3/4-full with the original batter. Drizzle with the yellow, green, and red batters. Carefully place the muffin cups into the steamer. Place a clean kitchen cloth below the lid to prevent steam from dripping onto the cakes. Cook, covered, until tops spring back when pressed, about 20 minutes.']",118 kcal,20 servings
Indonesian Ratatouille with Tempeh,https://www.allrecipes.com/recipe/268330/indonesian-ratatouille-with-tempeh/,40,"This dish is also known as sayur lodeh, which is a vegetable medley that includes tempeh as the main ingredient topped with coconut milk.","['1 tablespoon canola oil', '4 small shallots, minced', '4 whole habanero peppers', '1 medium tomato (diced)', '2 cloves garlic, minced', '8 ounce package tempeh (diced)', '1 medium red bell pepper (diced)', '0.25 pound okra (sliced)', '2 cups vegetable broth', '1 small eggplant (peeled and large diced)', '1 tablespoon coconut milk', '1 teaspoon brown sugar', 'salt and ground black pepper to taste']","['Coat the bottom of a skillet with oil and place it over medium heat. Combine shallots, peppers, tomato, and garlic in the skillet and stir until fragrant, about 3 minutes. Add tempeh, bell pepper, and okra; stir quickly to combine. Add broth and eggplant; bring to a low boil and cook for about 5 minutes. Reduce heat, cover, and simmer until all vegetables are tender, 5 to 7 minutes. Stir in coconut milk and brown sugar. Season with salt and pepper.']",401 kcal,2 servings
Satay Sauce,https://www.allrecipes.com/recipe/45446/satay-sauce/,10,"This satay sauce made with coconut milk, peanut butter, soy sauce, and red pepper flakes comes together easily for a tasty Thai-style dipping sauce.","['10 ounce can coconut milk', '0.5 cup crunchy peanut butter', '0.5 small onion, grated', '1 tablespoon dark soy sauce', '2 teaspoons brown sugar', '0.5 teaspoon red pepper flakes']","['Combine coconut milk, peanut butter, onion, soy sauce, brown sugar, and pepper flakes in a saucepan over medium heat. Bring to a boil, stirring frequently. Remove from heat, and keep warm.']",112 kcal,12 servings
Malaysian Nasi Lemak,https://www.allrecipes.com/recipe/78938/malaysian-nasi-lemak/,60,"Nasi lemak is Malaysian coconut rice served with hot chile sauce, fried anchovies, fried peanuts (sliced) cucumber or tomato, and hard-boiled egg.","['2 cups coconut milk', '2 cups water', '2 cups long grain rice, rinsed and drained', '1/2 inch piece fresh ginger (peeled and thinly sliced)', '0.25 teaspoon ground ginger', '1 whole bay leaf', 'some pinched of salt', '1 cup oil for frying', '1 cup raw peanuts', '4 ounce package white anchovies, washed', '4 large hard-boiled eggs (peeled and halved)', '1 medium cucumber (sliced)', '2 tablespoons vegetable oil', '1 medium onion (sliced)', '3 medium shallots (thinly sliced)', '3 cloves garlic (thinly sliced)', '2 teaspoons chile paste', '1 tablespoon water, or more as needed', '4 ounce package white anchovies, washed', '0.25 cup tamarind juice', '3 tablespoons white sugar', 'some pinched of salt']","['Make the rice: Stir coconut milk, water, rice, fresh ginger, ground ginger, bay leaf, and salt together in a medium saucepan. Cover and bring to a boil over medium heat. Reduce the heat and simmer until tender, 20 to 30 minutes. Discard bay leaf and keep rice warm until garnish and sauce are ready.', 'While the rice is cooking, make the garnish: Heat 1 cup vegetable oil in a large skillet over medium-high heat. Stir in peanuts and cook briefly, until lightly browned. Remove peanuts with a slotted spoon and place onto paper towels to soak up excess grease.', 'Return the skillet to the stove. Stir in anchovies and cook, turning occasionally, until crisp, 2 to 3 minutes. Remove with a slotted spoon and place on paper towels. Discard oil and wipe out the skillet.', 'Make the sauce: Heat oil in the clean skillet. Stir in onion, shallots, and garlic; cook until fragrant, 1 to 2 minutes. Mix in chile paste and cook for 10 minutes, stirring occasionally; if mixture is too dry, add water as needed. Stir in anchovies and cook for 5 minutes. Stir in tamarind juice, sugar, and salt; simmer until sauce is thick, about 5 minutes.', 'Ladle warm rice into bowls. Top with warm sauce, then top with peanuts, fried anchovies, hard-boiled eggs, and cucumber.']",578 kcal,8 servings
Malaysian Barbecue Chicken Wings,https://www.allrecipes.com/recipe/14535/malaysian-barbecue-chicken-wings/,0,"""This is a Malaysian barbecue recipe that I came up with myself. It is very delicious, especially with chicken wings.""","['12 chicken wings', '4 tablespoons soy sauce', '2 tablespoons dark soy sauce', '1 tablespoon sesame oil', '2 tablespoons oyster sauce', '0.5 tablespoon garlic powder', '0.5 teaspoon onion powder', 'ground black pepper to taste', '1 tablespoon dried basil']","['In a shallow glass bowl combine the soy sauce, dark soy sauce, sesame oil, oyster sauce, garlic powder, onion powder, ground black pepper and dried basil. Mix together. Add chicken wings, cover and refrigerate overnight. Stir together again the next day.', 'Lightly oil grill and preheat to high heat.', 'Remove wings from marinade and discard remaining marinade. Grill chicken wings over preheated grill for 8 to 12 minutes each side, or until cooked through and juices run clear.']",755 kcal,2 servings
Malaysian Beef Rendang,https://www.allrecipes.com/recipe/30794/malaysian-beef-rendang/,120,"First browned in a shallot, ginger, and lemon grass paste and a mixture of freshly ground coriander, cumin, and nutmeg, the bite-size pieces of beef are cooked in coconut milk until tender.","['0.375 pound shallots', '3 cloves garlic', '15 dried red chile peppers', '5 slices fresh ginger root', '5 lemon grass (chopped)', '2 teaspoons coriander seeds', '2 teaspoons fennel seeds', '2 teaspoons cumin seeds', '1 pinch grated nutmeg', '1 tablespoon vegetable oil', '1.25 pounds beef stew meat, cut into 1 inch cubes', '1.5 tablespoons white sugar', '2 cups shredded coconut', '5 whole cloves', '1 cinnamon stick', '1.6666666269302 cups coconut milk', '0.875 cup water', 'some pinched of salt']","['Heat the coconut in a dry wok, stirring continuously until golden brown. Set aside to cool.', 'Using a blender or a food processor, blend the shallots, garlic, chilies, ginger, and lemon grass to a thick paste.', 'Grind the coriander, fennel, cumin and nutmeg.', 'Using the wok, fry the shallot paste in a little oil for a few minutes. Add the ground coriander, fennel, cumin and nutmeg; cook for 3 to 4 minutes, stirring continuously. Add beef; cook over a medium heat for a further 3 to 4 minutes, or until meat is browned.', 'Stir in sugar, coconut, cloves, cinnamon stick, coconut milk , and water. Bring to a boil, lower heat, and simmer until most of the liquid has gone and the meat is tender (about 1 hour). Season with salt to taste.']",654 kcal,6 servings
Sambal Sauce,https://www.allrecipes.com/recipe/160157/sambal-sauce/,45,"This tangy, spicy sambal sauce is great with shrimp or chicken.","['1 tomato (chopped)', '1 bulb garlic (peeled and crushed)', '0.5 onion (chopped)', '1 cup chopped serrano chiles, with seeds', '2 tablespoons white sugar', '2 tablespoons salt', '2 tablespoons fresh lime juice', '1 tablespoon belacan shrimp paste', '2 tablespoons vegetable oil', '2 lemongrass, bruised', '2 fresh curry leaves', '1/2 inch piece galangal (thinly sliced)', '2 tablespoons tamarind juice']","['Place tomato, garlic, onion, chiles, sugar, salt, lime juice, and shrimp paste into a blender; process until smooth.', 'Heat oil in a saucepan over medium-high heat. Pour chile purée into hot oil. Stir in lemongrass, curry leaves, and galangal. Cook, stirring occasionally, until mixture changes color and becomes very fragrant, about 15 minutes.', 'Stir in tamarind juice; cook for 1 minute. Strain sauce before serving.']",38 kcal,16 servings
Mutton Varuval (Malaysian Indian-Style Goat Curry),https://www.allrecipes.com/recipe/260794/mutton-varuval-malaysian-indian-style-goat-curry/,180,"A showstopper dish at Diwali gatherings, this goat curry melds a myriad of spices evoking Malaysian and Indian flavors.","['2 pounds goat stew meat, cut into chunks', '2 teaspoons salt (divided)', '1 teaspoon ground turmeric (divided)', '0.5 teaspoon ground black pepper', '2 small red onions, quartered', '1.5 tablespoons coconut oil', '1 cinnamon stick, broken into pieces', '2 whole star anise pods', '4 cardamom pods', '1 tablespoon fennel seeds', '0.5 teaspoon whole cloves', '2 tablespoons curry leaves (divided)', '1 tablespoon ginger-garlic paste', '1 small tomato (diced)', '1 teaspoon coconut oil', '1.5 teaspoons garam masala', '1.5 teaspoons curry powder', '1.5 teaspoons ground paprika', '0.5 cup chopped fresh cilantro']","['Season goat meat with 1 teaspoon salt, 1/2 teaspoon turmeric, and black pepper.', 'Place red onions in a blender; grind into a smooth paste.', 'Heat 1.5 tablespoons coconut oil in a Dutch oven over medium heat. Add cinnamon stick, star anise, and cardamom pods; cook until aromatic, about 30 seconds. Add fennel and cloves; cook and stir for 30 seconds. Add remaining 1 teaspoon salt and 1 tablespoon curry leaves; stir in the onion paste. Increase heat to medium-high. Cook and stir curry mixture for 5 minutes; add ginger-garlic paste and continue cooking until flavors meld, about 10 minutes.', 'Stir diced tomato into the curry mixture. Cook and stir until mushy, about 4 minutes. Add the seasoned goat meat; cook until browned, 6 to 10 minutes. Transfer goat curry to a slow cooker; cook on High until meat is tender, 2 to 3 hours.', 'Heat 1 teaspoon coconut oil in a saucepan over medium heat. Cook and stir the remaining 1/2 teaspoon turmeric, garam masala, curry powder, and paprika until aromatic, about 1 minute. Add a few cups of the curry from the slow cooker; heat until oil rises to the top. Add remaining 1 tablespoon curry leaves and cilantro; cook until gravy thickens, 3 to 5 minutes. Pour back into the slow cooker and blend well.']",206 kcal,6 servings
